frase,risco,fator,taxonomia,metadata
"Ele controla todo o dinheiro e eu preciso pedir para comprar qualquer coisa.",Alto,Controle Financeiro Total,Dependência Econômica,Privação de autonomia
"Cada um tem sua conta e dividimos as despesas de forma justa.",Baixo,Independência Financeira,Gestão Equilibrada,Autonomia preservada
"Trabalho mas ele insiste que o dinheiro fique na conta dele 'para organizar melhor'.",Alto,Centralização Forçada,Controle de Recursos,Vulnerabilidade financeira
"Ele me dá uma 'mesada' para gastos pessoais mesmo eu trabalhando.",Alto,Infantilização Financeira,Controle por Concessão,Perda de dignidade
"Tenho acesso total às nossas finanças e participamos juntos das decisões.",Baixo,Transparência Financeira,Parceria Econômica,Relação igualitária
"Se eu compro algo para mim, ele reclama que estou gastando 'nosso' dinheiro.",Médio,Cerceamento de Gastos,Controle Indireto,Culpabilização financeira
"Não sei quanto ele ganha e ele se recusa a me contar.",Médio,Opacidade Financeira,Desequilíbrio de Informação,Falta de transparência
"Ele me proibiu de trabalhar dizendo que cuidar da casa já é suficiente.",Alto,Impedimento Laboral,Indução de Dependência,Isolamento econômico
"Parei de trabalhar porque ele dizia que meu salário 'não valia a pena'.",Alto,Desvalorização do Trabalho,Sabotagem Profissional,Dependência forçada
"Compartilhamos gastos e decisões financeiras de forma colaborativa.",Baixo,Gestão Conjunta,Equilíbrio de Poder,Responsabilidade compartilhada
"Ele ameaça me deixar sem dinheiro se eu 'não me comportar'.",Alto,Coerção Econômica,Chantagem Financeira,Controle por ameaça
"Não posso comprar nada sem mostrar nota fiscal para ele.",Alto,Fiscalização Excessiva,Controle Obsessivo,Vigilância financeira
"Ele usa o dinheiro que ganha para me controlar e me fazer sentir inferior.",Alto,Uso de Poder Econômico,Violência Patrimonial,Hierarquização forçada
"Tenho liberdade para trabalhar e gerir meu próprio dinheiro.",Baixo,Autonomia Econômica,Independência Preservada,Empoderamento financeiro
"Ele faz questão de pagar tudo e diz que eu 'devo' gratidão a ele.",Médio,Criação de Dívida Moral,Controle por Provimento,Manipulação relacional
